model,rank,decision_rule,split,accuracy,boundary_accuracy,false_commit_rate,false_veto_rate,weighted_error_cost,count,claim_status
base_trm,0,argmax,heldout,0.893092,0.857143,0.118881,0.078212,,608,5m_cpu_base
base_trm,0,tuned_threshold,heldout,0.896382,,0.118881,0.067039,0.107599,608,5m_cpu_validation_tuned
lora_trm,1,argmax,heldout,0.962171,0.949451,0.046620,0.016760,,608,5m_cpu_lora
lora_trm,1,tuned_threshold,heldout,0.963816,,0.009324,0.100559,0.029179,608,5m_cpu_validation_tuned
lora_trm,2,argmax,heldout,0.962171,0.949451,0.044289,0.022346,,608,5m_cpu_lora
lora_trm,2,tuned_threshold,heldout,0.955592,,0.027972,0.083799,0.040122,608,5m_cpu_validation_tuned
lora_trm,4,argmax,heldout,0.970395,0.960440,0.006993,0.083799,,608,5m_cpu_lora
lora_trm,4,tuned_threshold,heldout,0.967105,,0.006993,0.094972,0.026140,608,5m_cpu_validation_tuned
lora_trm,8,argmax,heldout,0.978618,0.971429,0.009324,0.050279,,608,5m_cpu_best_accuracy
lora_trm,8,tuned_threshold,heldout,0.970395,,0.006993,0.083799,0.023708,608,5m_cpu_best_weighted_cost
