scenario,nav_lift,diary_lift,diary_over_nav
bioethics_committee,0.00,0.00,0.00
bitcoin_consensus_oversight,-0.25,0.00,0.25
decentralized_ai_governance,-0.10,0.00,0.10
diplomatic_memory_federation,0.00,0.00,0.00
distributed_atomspace_negotiation,-0.50,0.00,0.50
market_square,4.40,4.40,0.00
medical_triage,0.00,0.00,0.00
medicine_dilemma,1.40,1.40,0.00
metagoal_self_modification,0.00,0.00,0.00
multi_agent_release_council,1.64,1.64,0.00
quantum_signal_fusion,-1.52,0.00,1.52
scarlett_letter,1.85,1.85,0.00
self_model_adapter_governance,0.00,0.00,0.00
self_modification_constitution,0.00,0.00,0.00
service_market_reputation,0.00,0.00,0.00
AVERAGE,0.4613,0.6193,0.1580
